Rung_StartingCapital,ProjectionID,Seed,Months,EngineVersion,ProjectionInGold,Survived,FinalCash,FinalTotal,EvictionCount,Command
5000000,1000,1,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 1 --months 240
5000000,1000,2,240,0.6.0,yes,1,396602.62,917036.86,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 2 --months 240
5000000,1000,3,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 3 --months 240
5000000,1000,4,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 4 --months 240
5000000,1000,5,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 5 --months 240
5000000,1000,6,240,0.6.0,yes,1,44345.09,428738.45,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 6 --months 240
5000000,1000,7,240,0.6.0,yes,1,697316.71,1245678.43,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 7 --months 240
5000000,1000,8,240,0.6.0,yes,1,1180502.39,1665479.63,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 8 --months 240
5000000,1000,9,240,0.6.0,yes,1,361560.49,825676.09,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 9 --months 240
5000000,1000,10,240,0.6.0,yes,1,43098.88,279716.88,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 10 --months 240
5000000,1000,11,240,0.6.0,yes,1,694931.59,1193544.79,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 11 --months 240
5000000,1000,12,240,0.6.0,yes,1,305672.03,881167.07,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 12 --months 240
5000000,1000,13,240,0.6.0,yes,1,694527.45,1182955.29,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 13 --months 240
5000000,1000,14,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 14 --months 240
5000000,1000,15,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 15 --months 240
5000000,1000,16,240,0.6.0,yes,1,601688.71,1125751.03,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 16 --months 240
5000000,1000,17,240,0.6.0,yes,1,152886.07,441149.63,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 17 --months 240
5000000,1000,18,240,0.6.0,yes,1,174934.11,663642.27,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 18 --months 240
5000000,1000,19,240,0.6.0,yes,1,148378.03,623364.27,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 19 --months 240
5000000,1000,20,240,0.6.0,yes,1,69027.43,427157.27,0,python app/src/simulation.py --env <db> --projection-id 1000 --seed 20 --months 240
