Rung_StartingCapital,ProjectionID,Seed,Months,EngineVersion,ProjectionInGold,Survived,FinalCash,FinalTotal,EvictionCount,Command
5000000,1400,1,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 1 --months 240
5000000,1400,2,240,0.6.0,yes,1,47088.66,73499.95,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 2 --months 240
5000000,1400,3,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 3 --months 240
5000000,1400,4,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 4 --months 240
5000000,1400,5,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 5 --months 240
5000000,1400,6,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 6 --months 240
5000000,1400,7,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 7 --months 240
5000000,1400,8,240,0.6.0,yes,1,157483.44,228870.71,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 8 --months 240
5000000,1400,9,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 9 --months 240
5000000,1400,10,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 10 --months 240
5000000,1400,11,240,0.6.0,yes,1,268852.74,700533.30,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 11 --months 240
5000000,1400,12,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 12 --months 240
5000000,1400,13,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 13 --months 240
5000000,1400,14,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 14 --months 240
5000000,1400,15,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 15 --months 240
5000000,1400,16,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 16 --months 240
5000000,1400,17,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 17 --months 240
5000000,1400,18,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 18 --months 240
5000000,1400,19,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 19 --months 240
5000000,1400,20,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 20 --months 240
5000000,1400,21,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 21 --months 240
5000000,1400,22,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 22 --months 240
5000000,1400,23,240,0.6.0,yes,1,45679.18,106889.37,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 23 --months 240
5000000,1400,24,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 24 --months 240
5000000,1400,25,240,0.6.0,yes,1,1811756.10,2381404.98,0,python app/src/simulation.py --env <db> --projection-id 1400 --seed 25 --months 240
5500000,1401,1,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 1 --months 240
5500000,1401,2,240,0.6.0,yes,1,39245.39,500722.14,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 2 --months 240
5500000,1401,3,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 3 --months 240
5500000,1401,4,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 4 --months 240
5500000,1401,5,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 5 --months 240
5500000,1401,6,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 6 --months 240
5500000,1401,7,240,0.6.0,yes,1,42514.48,52521.60,0,python app/src/simulation.py --env <db> --projection-id 1401 --seed 7 --months 240
