Rung_StartingCapital,ProjectionID,Seed,Months,EngineVersion,ProjectionInGold,Survived,FinalCash,FinalTotal,EvictionCount,Command
5000000,800,1,240,0.6.0,yes,1,173040.30,577169.68,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 1 --months 240
5000000,800,2,240,0.6.0,yes,1,1261772.28,1850333.04,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 2 --months 240
5000000,800,3,240,0.6.0,yes,1,52588.28,208573.01,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 3 --months 240
5000000,800,4,240,0.6.0,yes,1,163715.34,664660.26,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 4 --months 240
5000000,800,5,240,0.6.0,yes,1,883984.85,1351299.41,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 5 --months 240
5000000,800,6,240,0.6.0,yes,1,879781.70,1402772.42,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 6 --months 240
5000000,800,7,240,0.6.0,yes,1,1429217.85,2041892.73,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 7 --months 240
5000000,800,8,240,0.6.0,yes,1,958241.24,1537745.48,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 8 --months 240
5000000,800,9,240,0.6.0,yes,1,1145285.26,1647508.06,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 9 --months 240
5000000,800,10,240,0.6.0,yes,1,1107688.93,1605740.65,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 10 --months 240
5000000,800,11,240,0.6.0,yes,1,797236.51,1369101.36,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 11 --months 240
5000000,800,12,240,0.6.0,yes,1,499928.44,1117303.00,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 12 --months 240
5000000,800,13,240,0.6.0,yes,1,1302600.90,1820383.50,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 13 --months 240
5000000,800,14,240,0.6.0,yes,1,291221.25,875451.21,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 14 --months 240
5000000,800,15,240,0.6.0,yes,0,0.00,0.00,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 15 --months 240
5000000,800,16,240,0.6.0,yes,1,1006604.14,1586823.70,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 16 --months 240
5000000,800,17,240,0.6.0,yes,1,824434.39,1351393.15,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 17 --months 240
5000000,800,18,240,0.6.0,yes,1,1256905.59,1780038.27,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 18 --months 240
5000000,800,19,240,0.6.0,yes,1,342332.29,960853.04,1,python app/src/simulation.py --env <db> --projection-id 800 --seed 19 --months 240
5000000,800,20,240,0.6.0,yes,1,1119518.47,1683809.59,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 20 --months 240
5000000,800,21,240,0.6.0,yes,1,783911.51,1339113.83,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 21 --months 240
5000000,800,22,240,0.6.0,yes,1,467994.67,1003920.07,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 22 --months 240
5000000,800,23,240,0.6.0,yes,1,395443.11,1006064.83,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 23 --months 240
5000000,800,24,240,0.6.0,yes,1,1219235.46,1814908.98,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 24 --months 240
5000000,800,25,240,0.6.0,yes,1,1370674.02,2142870.78,0,python app/src/simulation.py --env <db> --projection-id 800 --seed 25 --months 240
5500000,801,1,240,0.6.0,yes,1,629339.74,1151028.70,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 1 --months 240
5500000,801,2,240,0.6.0,yes,1,1092639.90,1716395.79,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 2 --months 240
5500000,801,3,240,0.6.0,yes,1,298347.92,865543.16,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 3 --months 240
5500000,801,4,240,0.6.0,yes,1,376120.57,1030515.68,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 4 --months 240
5500000,801,5,240,0.6.0,yes,1,797013.09,1294296.69,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 5 --months 240
5500000,801,6,240,0.6.0,yes,1,1136260.84,1691655.52,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 6 --months 240
5500000,801,7,240,0.6.0,yes,1,680243.11,1319797.49,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 7 --months 240
5500000,801,8,240,0.6.0,yes,1,1241817.29,1829536.00,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 8 --months 240
5500000,801,9,240,0.6.0,yes,1,1089078.61,1650394.09,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 9 --months 240
5500000,801,10,240,0.6.0,yes,1,347866.74,917965.14,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 10 --months 240
5500000,801,11,240,0.6.0,yes,1,1026293.85,1606999.59,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 11 --months 240
5500000,801,12,240,0.6.0,yes,1,473042.64,1249359.24,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 12 --months 240
5500000,801,13,240,0.6.0,yes,1,909666.83,1538451.30,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 13 --months 240
5500000,801,14,240,0.6.0,yes,1,258516.98,881334.38,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 14 --months 240
5500000,801,15,240,0.6.0,yes,1,187074.91,770769.71,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 15 --months 240
5500000,801,16,240,0.6.0,yes,1,650569.79,1299384.95,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 16 --months 240
5500000,801,17,240,0.6.0,yes,1,1047008.72,1623729.44,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 17 --months 240
5500000,801,18,240,0.6.0,yes,1,1071282.18,1663264.26,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 18 --months 240
5500000,801,19,240,0.6.0,yes,1,321132.54,1000907.48,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 19 --months 240
5500000,801,20,240,0.6.0,yes,1,861528.99,1503655.47,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 20 --months 240
5500000,801,21,240,0.6.0,yes,1,928335.04,1549537.24,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 21 --months 240
5500000,801,22,240,0.6.0,yes,1,762677.16,1366538.75,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 22 --months 240
5500000,801,23,240,0.6.0,yes,1,628708.70,1258734.84,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 23 --months 240
5500000,801,24,240,0.6.0,yes,1,817754.74,1551627.58,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 24 --months 240
5500000,801,25,240,0.6.0,yes,1,1232259.98,2095765.48,0,python app/src/simulation.py --env <db> --projection-id 801 --seed 25 --months 240
6000000,802,1,240,0.6.0,yes,1,1174550.03,1818328.07,0,python app/src/simulation.py --env <db> --projection-id 802 --seed 1 --months 240
6000000,802,2,240,0.6.0,yes,1,633425.32,1274918.05,0,python app/src/simulation.py --env <db> --projection-id 802 --seed 2 --months 240
6000000,802,3,240,0.6.0,yes,1,576854.53,1179702.85,0,python app/src/simulation.py --env <db> --projection-id 802 --seed 3 --months 240
